city,location,price_text,price_pkr,bedrooms,bathrooms,size_text,size_sqft,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms
Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",6.25 Crore,62500000,5.0,6.0,10 Marla,2250,House,,,1.0,,2.0,
Islamabad,"DHA Defence Phase 5, DHA Defence",6.4 Crore,64000000,5.0,5.0,10 Marla,2250,House,2025.0,4.0,1.0,2.0,2.0,
Islamabad,"Regent One, DHA Defence Phase 3",2 Crore,20000000,2.0,2.0,5.1 Marla,1148,,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",9.5 Crore,95000000,5.0,7.0,1 Kanal,4500,House,2025.0,3.0,2.0,2.0,2.0,
Islamabad,"DHA Phase 5 - Sector C, DHA Defence Phase 5",16 Crore,160000000,4.0,5.0,2.5 Kanal,11250,House,2025.0,4.0,2.0,1.0,1.0,
Islamabad,"F-17, Islamabad",1.85 Crore,18500000,3.0,3.0,7 Marla,1575,House,2026.0,1.0,1.0,1.0,1.0,
Islamabad,"F-17, Islamabad",75 Lakh,7500000,3.0,3.0,4.4 Marla,990,Flat,2022.0,1.0,1.0,1.0,1.0,
Islamabad,"Askari Tower 1, DHA Defence Phase 2",3.5 Crore,35000000,3.0,4.0,12.9 Marla,2902,Flat,2019.0,1.0,1.0,1.0,1.0,
Islamabad,"CBR Town Phase 1 - Block D, CBR Town Phase 1",3.25 Crore,32500000,5.0,6.0,7 Marla,1575,House,,,,,,
Islamabad,"Pakistan Town - Phase 1, Pakistan Town",4 Crore,40000000,6.0,6.0,10.9 Marla,2452,House,2021.0,3.0,1.0,1.0,1.0,2.0
Islamabad,"D-12/3, D-12",15 Crore,150000000,6.0,6.0,14 Marla,3150,House,,1.0,1.0,1.0,1.0,
Islamabad,"G-10/4, G-10",10.75 Crore,107500000,5.0,6.0,14 Marla,3150,House,2005.0,3.0,1.0,1.0,2.0,
Islamabad,"F-7, Islamabad",60 Crore,600000000,4.0,5.0,2.1 Kanal,9450,House,,,,,,
Islamabad,"F-6, Islamabad",40 Crore,400000000,5.0,6.0,1.6 Kanal,7200,House,,,,,,
Islamabad,"F-6, Islamabad",1.2 Arab,1200000000,5.0,6.0,4.8 Kanal,21600,House,2020.0,5.0,3.0,1.0,2.0,
Islamabad,"F-6, Islamabad",46 Crore,460000000,5.0,6.0,2.1 Kanal,9450,House,2020.0,2.0,2.0,1.0,2.0,
Islamabad,"Eighteen, Kashmir Highway",2.5 Crore,25000000,1.0,1.0,3.4 Marla,765,Flat,,,,,,
Islamabad,"F-8, Islamabad",26 Crore,260000000,5.0,6.0,1.2 Kanal,5400,House,2020.0,4.0,2.0,2.0,2.0,
Islamabad,"F-8, Islamabad",65 Crore,650000000,6.0,6.0,4 Kanal,18000,House,2020.0,2.0,2.0,,2.0,
Islamabad,"F-7, Islamabad",30 Crore,300000000,6.0,6.0,1 Kanal,4500,House,2020.0,5.0,2.0,2.0,2.0,
Islamabad,"MPCHS - Block C, MPCHS - Multi Gardens",10.5 Crore,105000000,6.0,6.0,1 Kanal,4500,House,,3.0,,,2.0,
Islamabad,"DHA Defence Phase 5, DHA Defence",7.8 Crore,78000000,5.0,6.0,10 Marla,2250,House,2026.0,2.0,1.0,2.0,2.0,
Islamabad,"F-8, Islamabad",22.25 Crore,222500000,5.0,6.0,1 Kanal,4500,House,,,,,,
Islamabad,"F-8, Islamabad",41.5 Crore,415000000,6.0,7.0,1 Kanal,4500,House,,,,,2.0,
Islamabad,"Faisal Hills, Islamabad",1.32 Crore,13200000,,,3.5 Marla,788,Flat,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",10.5 Crore,105000000,6.0,6.0,1 Kanal,4500,House,2025.0,3.0,2.0,2.0,2.0,
Islamabad,"Margalla View Housing Society, D-17",3.85 Crore,38500000,4.0,5.0,9.3 Marla,2092,House,,,,,,
Islamabad,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",2.95 Crore,29500000,4.0,4.0,5 Marla,1125,House,,,,,,
Islamabad,"Canary Residency, Faisal Hills",2.5 Crore,25000000,4.0,4.0,5 Marla,1125,House,,,1.0,,1.0,
Islamabad,"Canary Residency, Faisal Hills",2.1 Crore,21000000,4.0,4.0,5 Marla,1125,House,,,,,1.0,
Islamabad,"Cube Apartments, Bahria Enclave",1.25 Crore,12500000,1.0,2.0,4.6 Marla,1035,Flat,2023.0,1.0,1.0,1.0,1.0,
